cals,carbs,fats,pro,pgNo,pdf
403,37g,15g,30g,224,BTB
263,25g,3g,34g,225,BTB
513,63g,13g,36g,226,BTB
281,32g,5g,27g,227,BTB
303,32g,7g,28g,228,BTB
530,67g,6g,52g,229,BTB
899,65g,43g,63g,231,BTB
418,62g,6g,29g,232,BTB
441,40g,13g,41g,233,BTB
362,18g,10g,50g,234,BTB
429,46g,9g,41g,235,BTB
275,18g,3g,44g,237,BTB
486,60g,10g,39g,238,BTB
595,44g,27g,44g,239,BTB
462,49g,10g,44g,240,BTB
362,38g,10g,30g,241,BTB
408,29g,20g,28g,242,BTB
